meal_type,day_of_week,menu_popularity_score,holiday_flag,exam_period_flag,total_registered_students,current_bookings,last_7_day_avg_attendance,actual_attendance
breakfast,6,5.77,0,0,250,171,166.5,163
dinner,6,6.01,0,0,175,125,124.4,133
lunch,2,5.45,0,0,150,126,132.0,142
dinner,4,4.69,0,0,225,192,189.6,191
dinner,4,3.27,0,0,200,153,151.1,161
breakfast,1,4.61,0,0,225,186,168.4,185
breakfast,5,2.25,0,0,175,95,111.7,109
breakfast,5,2.04,0,0,200,134,111.1,123
lunch,5,3.7,0,0,150,130,114.8,111
dinner,3,9.96,0,0,225,223,204.2,203
dinner,5,3.94,0,1,175,127,129.7,143
breakfast,2,9.43,0,0,175,156,157.9,139
lunch,6,4.53,0,0,200,145,158.8,148
lunch,6,4.95,1,0,175,95,76.5,84
breakfast,3,8.17,0,0,150,132,126.5,113
breakfast,1,1.84,0,0,150,112,101.3,115
lunch,2,2.64,0,0,250,237,210.5,221
dinner,6,9.76,0,0,200,165,145.2,159
breakfast,2,5.55,0,1,200,155,163.1,159
lunch,6,1.4,1,0,250,109,106.8,104
dinner,0,1.43,0,0,225,187,178.3,200
lunch,1,9.17,0,1,200,200,176.3,188
dinner,1,8.86,0,0,200,185,182.1,199
dinner,0,5.13,0,0,225,197,206.3,198
breakfast,3,2.47,1,0,175,78,73.5,88
lunch,6,8.47,0,0,200,174,162.0,166
breakfast,6,3.92,0,0,150,106,87.4,100
breakfast,6,4.77,0,0,175,116,101.5,117
breakfast,5,7.14,0,0,175,131,124.0,120
lunch,5,4.18,0,0,225,179,167.4,168
lunch,5,6.66,1,0,225,115,121.3,115
breakfast,5,8.97,1,0,200,89,74.3,69
breakfast,5,8.18,0,1,200,156,145.3,152
dinner,0,4.43,0,0,200,179,160.3,190
breakfast,1,3.59,0,0,225,169,180.9,180
breakfast,3,3.57,0,0,200,165,157.9,149
lunch,2,4.14,0,0,200,168,196.6,188
dinner,5,5.44,0,1,175,142,150.8,148
breakfast,0,4.75,0,0,200,157,148.0,158
dinner,6,2.2,0,0,150,112,106.1,109
dinner,3,2.47,0,0,200,160,172.7,169
breakfast,3,4.09,0,0,225,175,154.2,174
dinner,3,6.06,0,0,175,162,142.2,162
lunch,0,6.33,0,0,175,155,156.0,164
lunch,2,5.38,0,0,250,245,239.7,231
lunch,5,7.65,0,0,225,191,172.4,184
lunch,3,7.64,0,0,200,200,200.4,191
breakfast,0,4.85,0,0,175,130,138.2,137
dinner,6,2.12,0,0,200,140,139.2,144
breakfast,1,5.77,0,0,200,173,161.1,163
breakfast,6,4.43,0,0,225,136,132.5,142
breakfast,0,2.24,1,0,175,78,84.9,82
lunch,0,9.84,0,0,225,224,194.9,212
dinner,0,4.33,0,0,250,216,236.7,224
breakfast,3,6.63,0,0,200,155,161.5,157
lunch,0,5.41,0,0,150,141,143.1,136
breakfast,1,2.29,0,0,225,171,182.2,173
lunch,3,1.5,0,1,225,215,188.7,196
breakfast,6,6.63,0,0,175,126,115.2,115
dinner,1,3.22,0,1,200,191,196.7,199
lunch,4,3.19,0,0,225,206,207.8,190
dinner,6,9.61,0,0,175,132,144.1,146
breakfast,0,5.16,0,1,175,149,157.3,147
lunch,5,1.26,0,0,175,116,136.5,124
breakfast,5,4.06,0,0,250,160,167.8,153
dinner,3,6.26,0,0,175,169,170.1,162
dinner,5,3.96,1,0,175,76,78.9,77
breakfast,6,1.24,0,0,150,84,88.9,96
lunch,3,5.0,0,0,250,228,207.2,228
dinner,6,1.95,0,0,175,138,118.0,117
lunch,0,6.57,0,0,225,208,224.9,211
lunch,2,6.58,0,0,150,150,152.7,133
breakfast,2,1.34,0,0,225,160,150.7,156
breakfast,1,3.62,0,1,225,181,188.5,188
dinner,0,4.72,0,0,150,139,138.6,134
dinner,5,5.95,0,0,175,145,133.7,138
lunch,0,3.66,0,0,175,158,147.3,158
lunch,4,3.59,0,1,200,190,161.7,192
lunch,2,9.85,0,0,225,214,228.0,214
dinner,5,1.38,0,0,150,118,100.2,114
dinner,6,9.9,0,0,200,159,151.3,162
dinner,6,1.43,0,0,175,112,124.1,126
dinner,2,3.6,0,0,200,192,171.9,182
lunch,0,5.44,0,0,150,140,135.1,144
breakfast,5,2.29,0,0,175,117,96.8,106
breakfast,1,2.21,1,0,175,96,89.5,89
dinner,6,3.31,0,0,200,157,135.8,138
lunch,0,9.76,1,0,175,112,108.2,129
breakfast,1,4.42,0,0,225,181,182.9,175
breakfast,5,6.09,0,0,225,155,153.5,146
lunch,2,7.34,0,0,225,208,188.5,206
breakfast,4,7.68,0,0,250,199,180.2,192
breakfast,3,7.19,1,0,250,128,115.8,128
lunch,2,4.03,0,0,175,171,166.0,164
dinner,1,2.01,0,0,200,164,163.2,179
lunch,0,3.54,0,0,200,167,168.7,192
breakfast,6,2.89,0,0,200,126,129.3,119
dinner,5,2.23,0,0,250,177,187.8,185
breakfast,2,1.22,1,0,200,80,84.3,96
breakfast,6,9.42,0,0,225,158,157.7,159
dinner,6,9.29,0,0,200,168,155.7,158
lunch,4,1.45,0,1,250,207,203.9,216
dinner,5,2.56,0,0,225,162,162.3,167
lunch,1,2.26,0,0,200,194,189.3,181
lunch,5,3.53,0,0,175,125,123.6,139
breakfast,5,2.84,0,0,225,152,136.8,133
lunch,0,9.51,0,0,250,223,214.2,237
breakfast,3,1.76,0,0,225,174,174.1,161
breakfast,6,2.91,0,0,225,132,142.0,136
dinner,1,1.73,0,0,200,180,180.6,183
lunch,0,9.82,0,1,200,179,202.2,200
dinner,6,9.27,0,0,250,197,192.0,201
lunch,3,7.45,0,1,175,175,150.5,172
dinner,0,4.83,0,0,200,188,194.6,177
lunch,3,2.71,0,0,200,185,174.9,166
lunch,3,2.99,0,0,200,167,174.5,185
lunch,3,4.99,0,1,200,182,169.6,192
breakfast,0,7.91,0,1,200,188,173.0,173
dinner,5,3.38,0,0,175,138,132.2,128
breakfast,3,3.8,0,0,175,127,129.6,135
breakfast,5,6.4,0,1,225,166,171.0,151
lunch,6,3.14,1,0,250,109,114.2,105
breakfast,6,6.26,0,0,175,116,99.4,109
dinner,1,4.48,0,0,150,150,136.4,140
dinner,4,1.31,0,0,225,169,197.4,185
dinner,5,4.62,0,0,200,139,140.8,156
lunch,6,9.28,0,0,175,131,143.5,142
breakfast,4,3.64,0,0,200,152,134.6,148
dinner,3,3.91,0,1,200,182,178.5,181
lunch,4,1.59,0,0,175,152,129.5,144
dinner,4,6.54,0,0,250,212,222.9,214
dinner,3,8.64,0,0,200,190,194.2,190
dinner,5,4.18,0,1,200,175,167.6,159
breakfast,3,3.16,0,0,200,158,162.2,154
lunch,1,9.61,0,0,225,225,223.1,215
dinner,2,7.71,0,0,225,213,195.4,211
breakfast,0,6.1,0,0,200,146,148.2,156
breakfast,3,3.75,1,0,175,95,83.7,82
lunch,3,2.99,0,0,175,167,161.5,155
dinner,4,7.44,0,0,150,142,120.3,137
dinner,1,5.7,0,0,200,200,164.8,178
lunch,6,5.69,0,0,225,183,168.0,175
breakfast,6,1.66,0,0,200,126,119.2,115
lunch,4,5.61,0,0,250,235,232.8,218
dinner,5,8.4,0,0,225,173,166.2,189
breakfast,3,9.52,0,0,200,162,173.1,163
lunch,3,1.96,1,0,175,102,103.7,91
dinner,4,6.68,0,0,200,170,160.7,179
dinner,3,6.12,0,0,200,194,191.9,187
dinner,5,9.01,0,0,200,158,173.9,165
dinner,2,7.76,0,0,200,181,175.4,178
lunch,0,9.69,0,0,175,154,151.0,166
breakfast,0,9.64,1,0,150,81,87.0,76
dinner,0,3.03,0,0,225,202,176.0,207
dinner,2,7.53,0,0,225,215,225.7,209
dinner,3,5.77,0,0,250,216,209.6,229
dinner,4,2.93,0,0,250,204,201.3,209
lunch,6,2.75,0,0,175,124,122.4,134
lunch,1,1.73,0,0,200,180,165.8,189
dinner,3,8.16,0,0,225,215,200.6,210
lunch,2,3.92,0,0,250,233,226.2,223
dinner,5,8.71,0,0,150,118,109.6,130
dinner,2,6.47,0,0,200,192,192.7,183
dinner,6,7.06,0,1,175,132,149.8,147
lunch,0,3.63,0,0,225,209,213.1,203
lunch,3,5.12,0,0,225,216,210.6,207
breakfast,6,4.71,1,0,225,66,70.9,65
lunch,0,3.12,0,0,200,179,189.5,180
breakfast,1,8.49,0,0,200,159,178.6,172
lunch,5,6.6,0,0,175,134,132.1,137
lunch,0,1.34,0,0,200,188,172.8,183
breakfast,1,8.38,0,0,250,198,195.2,220
lunch,2,1.95,0,0,150,130,124.8,134
breakfast,0,4.63,0,0,200,169,145.7,159
breakfast,0,6.14,0,0,225,176,188.2,182
dinner,4,1.07,0,1,200,169,160.0,170
lunch,5,6.88,0,0,250,208,200.8,199
breakfast,5,6.94,0,0,200,129,134.8,130
lunch,6,6.87,0,1,225,196,194.5,183
dinner,2,2.47,0,0,225,189,174.5,194
breakfast,4,3.3,1,0,150,74,60.5,67
lunch,6,3.23,0,1,200,164,149.2,157
breakfast,1,9.64,0,0,175,147,158.1,154
breakfast,6,1.61,0,0,200,110,103.8,119
lunch,1,4.86,0,0,200,185,174.1,190
lunch,2,8.84,0,0,250,232,223.5,238
lunch,5,7.93,0,0,175,147,129.0,138
dinner,1,8.4,0,0,175,175,159.2,166
dinner,2,9.75,0,0,175,175,170.8,163
lunch,6,4.49,0,0,225,163,157.7,177
breakfast,1,3.79,0,0,250,209,204.1,200
dinner,3,1.28,0,0,200,180,168.6,175
breakfast,0,2.35,0,1,150,112,114.8,120
lunch,6,6.06,1,0,175,89,80.1,80
breakfast,5,2.42,0,0,175,117,97.6,107
breakfast,6,7.63,0,0,200,143,122.8,124
dinner,3,1.34,0,0,175,147,152.9,144
dinner,2,3.34,0,0,225,213,210.5,193
dinner,2,7.26,0,1,175,174,154.9,165
lunch,6,3.3,0,0,250,199,186.6,191
breakfast,3,7.56,1,0,200,110,90.5,101
breakfast,6,9.96,0,0,225,161,138.8,149
breakfast,0,8.17,0,0,250,193,222.1,210
lunch,0,4.08,0,0,250,233,242.6,220
dinner,4,9.11,0,0,225,200,182.8,198
lunch,1,1.46,0,0,175,143,165.0,159
breakfast,4,7.53,0,1,150,135,110.8,129
dinner,0,1.21,0,1,225,215,214.4,204
dinner,3,2.57,0,0,225,200,207.2,186
lunch,1,9.89,0,0,175,175,151.2,167
lunch,3,4.25,1,0,250,166,138.2,161
lunch,4,8.38,0,0,200,178,196.0,189
breakfast,2,4.38,0,0,175,121,127.9,133
lunch,3,8.56,0,0,175,172,161.8,164
dinner,4,9.69,0,1,150,136,133.6,145
breakfast,4,4.92,0,0,175,121,132.9,132
breakfast,4,6.03,0,0,225,166,155.9,161
breakfast,2,6.66,0,0,175,139,138.0,141
breakfast,2,9.41,0,0,200,162,176.4,175
dinner,6,3.31,0,0,225,149,175.2,163
dinner,2,6.5,0,0,225,198,197.7,206
lunch,1,3.92,0,0,200,183,168.8,196
breakfast,2,2.95,0,0,200,157,159.4,153
lunch,2,1.76,0,0,250,221,200.3,226
lunch,2,6.59,0,0,175,163,172.0,170
breakfast,3,8.94,1,0,175,91,93.6,93
lunch,2,4.16,1,0,225,148,138.4,135
lunch,1,5.97,0,0,150,150,151.6,133
lunch,4,6.78,0,0,175,157,148.3,153
lunch,3,4.73,0,0,200,191,164.5,181
breakfast,0,9.13,0,0,200,163,179.7,172
lunch,2,4.26,0,0,225,211,200.4,210
lunch,6,2.13,0,0,150,105,106.3,105
lunch,6,2.3,0,0,200,143,132.0,145
dinner,4,9.02,0,0,225,215,209.9,200
lunch,4,9.89,0,0,200,173,191.5,181
breakfast,3,3.6,0,0,200,165,138.2,151
breakfast,6,2.29,0,0,175,117,96.4,109
lunch,0,5.34,1,0,200,132,111.3,119
breakfast,5,7.39,0,0,175,132,124.8,124
lunch,6,6.51,0,0,200,144,145.8,158
dinner,6,9.56,0,1,200,171,181.1,171
lunch,1,8.36,0,0,200,200,188.9,189
lunch,5,8.82,0,0,225,186,181.4,188
lunch,4,5.88,0,1,150,150,124.3,141
lunch,5,3.95,0,0,200,146,139.3,155
lunch,6,7.32,0,0,200,163,145.0,156
dinner,4,4.95,0,0,200,169,154.1,174
lunch,5,3.59,0,0,150,108,107.1,104
dinner,4,2.37,0,0,175,157,131.2,148
dinner,4,5.75,0,0,225,189,197.5,198
breakfast,3,6.35,0,0,200,169,149.4,162
breakfast,0,6.12,0,0,200,155,163.8,162
breakfast,4,2.05,0,0,250,190,159.6,177
breakfast,1,6.13,0,0,150,118,113.4,127
breakfast,6,2.52,0,1,250,173,168.1,164
dinner,6,6.97,0,0,150,119,116.8,114
breakfast,1,4.86,0,0,200,174,144.8,158
breakfast,2,8.64,0,0,200,178,177.9,166
dinner,4,8.0,0,0,200,176,184.8,186
breakfast,4,7.52,0,0,150,109,113.9,119
dinner,4,7.31,1,0,200,117,111.0,119
breakfast,5,6.04,0,0,175,109,103.4,100
breakfast,4,1.55,0,1,175,125,124.7,123
dinner,4,6.9,0,0,175,166,145.5,156
lunch,1,5.2,0,0,200,186,170.2,196
dinner,0,5.23,0,0,200,167,188.7,180
dinner,0,4.41,0,0,150,147,130.0,135
dinner,2,9.36,1,0,175,117,121.7,113
breakfast,1,3.25,0,0,150,122,107.6,112
breakfast,4,3.85,0,0,200,157,136.8,143
dinner,0,9.67,0,0,200,200,177.8,191
dinner,3,8.29,0,0,200,182,196.9,196
dinner,3,1.13,0,0,250,204,209.1,212
lunch,3,9.15,0,0,200,188,172.6,190
lunch,4,3.04,0,0,225,184,182.7,199
dinner,4,7.35,0,1,200,200,199.8,190
lunch,2,5.98,0,1,200,178,188.2,193
dinner,6,5.83,0,1,200,148,142.9,164
dinner,2,7.46,0,0,175,158,146.2,162
lunch,2,2.86,0,0,200,173,166.9,180
dinner,5,2.43,0,1,250,196,197.8,199
dinner,3,6.87,0,1,175,158,154.2,164
breakfast,4,3.62,0,0,200,141,151.2,143
dinner,3,9.77,0,0,200,196,191.1,189
lunch,2,5.06,0,0,200,195,174.9,180
dinner,4,2.0,0,1,225,204,187.9,203
breakfast,1,7.17,0,0,175,137,139.4,144
dinner,0,3.76,0,1,200,186,178.2,186
lunch,0,2.34,0,0,200,169,180.1,181
breakfast,2,4.81,0,0,200,151,144.5,165
dinner,6,9.68,0,0,200,164,151.1,158
breakfast,3,4.7,0,0,200,167,139.0,155
breakfast,1,4.13,0,0,225,174,171.0,164
dinner,4,5.0,0,0,175,163,133.9,159
dinner,6,1.11,0,0,175,123,108.7,120
lunch,3,2.2,1,0,200,123,118.1,103
lunch,2,8.65,0,0,200,194,173.4,195
lunch,3,9.8,0,0,150,147,126.0,135
breakfast,2,2.42,0,0,175,139,118.0,125
breakfast,5,5.82,0,0,225,161,136.1,142
dinner,0,9.7,0,1,175,164,170.0,163
dinner,6,2.41,0,0,250,186,157.9,187
dinner,0,2.68,0,0,250,232,225.6,213
dinner,3,9.34,0,0,200,183,189.9,194
breakfast,1,7.35,0,0,225,188,184.8,184
lunch,4,2.37,0,1,200,172,190.1,176
breakfast,2,4.54,0,0,175,127,143.3,135
lunch,4,1.51,0,0,200,157,160.9,166
lunch,0,4.89,0,0,225,221,183.3,210
dinner,1,8.0,0,0,225,215,217.7,204
lunch,1,5.99,0,0,225,221,189.5,224
breakfast,4,6.83,0,1,250,205,189.0,202
breakfast,0,3.94,0,0,175,137,133.1,130
dinner,4,2.45,0,0,225,174,167.4,193
lunch,3,1.12,1,0,200,119,115.8,113
breakfast,1,8.39,0,0,225,194,180.4,190
breakfast,1,6.73,0,0,175,159,138.1,149
dinner,3,3.06,0,0,225,204,198.9,187
breakfast,0,4.77,0,0,200,168,150.7,160
dinner,1,8.21,0,0,200,195,175.7,191
dinner,6,5.85,0,1,150,116,110.8,118
breakfast,5,3.7,0,0,250,168,161.9,156
breakfast,5,3.4,1,0,200,71,68.0,62
dinner,5,2.96,0,0,200,155,137.0,149
lunch,2,8.41,0,0,175,161,156.7,167
lunch,6,6.24,1,0,200,91,102.8,90
dinner,2,7.38,0,0,250,240,252.0,230
dinner,0,8.74,0,0,175,175,165.5,156
dinner,3,9.88,0,0,250,240,244.4,231
dinner,4,3.25,0,1,200,169,182.2,173
lunch,6,2.63,0,1,250,208,188.9,185
breakfast,0,5.16,0,0,200,165,140.6,160
dinner,4,1.32,0,0,200,163,167.6,166
lunch,0,8.13,0,0,200,199,172.4,200
lunch,2,8.95,0,1,175,171,155.7,168
dinner,5,7.17,1,0,200,106,93.4,95
breakfast,3,3.41,1,0,200,84,87.4,92
lunch,2,2.11,0,0,150,127,130.4,136
breakfast,3,4.44,0,0,250,201,189.2,195
lunch,6,8.5,0,1,225,189,188.5,188
breakfast,4,4.13,0,1,250,190,177.0,201
breakfast,0,1.31,0,0,225,153,168.6,170
breakfast,1,3.47,0,0,200,169,164.0,163
lunch,1,9.91,0,0,175,156,161.4,172
dinner,3,7.09,0,0,200,173,193.8,189
lunch,5,9.11,0,1,225,213,193.8,203
dinner,5,7.97,0,1,225,189,190.8,194
lunch,3,5.86,0,0,200,200,166.3,187
breakfast,2,2.34,0,0,200,139,137.3,150
dinner,1,4.14,0,0,200,176,189.1,184
breakfast,2,6.25,0,0,200,152,149.7,157
dinner,4,8.84,0,0,150,125,121.3,139
breakfast,1,3.42,1,0,200,100,97.4,95
dinner,4,2.09,0,0,225,184,166.3,182
breakfast,0,6.03,0,0,225,180,183.0,180
dinner,2,2.59,0,0,200,161,179.1,177
lunch,3,6.49,0,0,250,228,227.1,235
dinner,1,3.37,0,0,225,218,207.5,208
breakfast,2,3.08,0,0,225,160,178.9,178
lunch,3,4.59,0,0,200,192,168.3,179
dinner,0,6.34,1,0,200,113,126.2,124
lunch,1,5.91,0,0,175,168,169.1,165
lunch,4,3.2,0,0,200,168,157.1,171
dinner,0,9.02,0,0,200,198,194.8,191
lunch,5,1.99,0,0,175,137,134.1,126
lunch,3,1.36,0,0,250,204,199.6,222
lunch,1,6.42,0,0,175,170,156.6,167
dinner,1,2.11,0,0,175,150,166.6,153
breakfast,6,5.54,0,0,200,132,113.6,129
breakfast,6,9.57,0,0,200,121,125.9,134
dinner,0,7.29,0,0,175,150,163.3,164
dinner,1,6.56,0,0,175,159,178.2,162
lunch,3,6.17,0,0,175,148,151.8,167
lunch,0,2.62,0,0,200,179,187.8,179
breakfast,4,4.89,0,1,175,149,131.6,139
breakfast,0,4.08,0,0,200,154,147.3,158
lunch,0,9.58,0,0,150,150,153.2,146
lunch,4,3.18,0,0,150,140,133.6,133
lunch,5,5.24,0,0,225,189,165.5,182
breakfast,6,9.44,0,1,200,155,133.9,147
dinner,3,8.1,0,1,200,176,170.4,191
dinner,5,9.68,0,0,150,119,120.1,119
dinner,5,6.47,0,0,175,139,129.7,141
lunch,5,4.0,0,0,225,182,167.3,167
breakfast,6,8.44,0,0,200,128,129.5,138
dinner,2,3.62,0,0,250,237,240.4,219
dinner,6,2.48,0,1,200,150,134.7,160
breakfast,5,7.36,0,0,200,128,130.3,137
dinner,2,6.75,0,0,225,219,186.6,210
dinner,4,8.91,0,0,250,235,229.3,226
dinner,6,9.66,0,1,200,158,152.2,177
dinner,3,8.71,1,0,175,119,115.7,108
lunch,5,1.54,0,0,200,155,157.0,152
lunch,1,6.98,0,1,200,182,204.1,193
dinner,4,8.06,0,1,250,234,213.4,236
dinner,2,9.84,1,0,200,141,143.1,133
breakfast,6,4.37,0,0,150,101,89.5,100
breakfast,3,2.53,0,0,200,158,151.0,145
lunch,0,8.68,0,0,150,150,125.0,134
dinner,3,3.86,0,0,200,187,168.9,177
dinner,3,6.38,0,0,200,183,174.0,182
breakfast,5,4.51,0,1,175,111,118.7,121
lunch,5,4.62,0,1,250,201,188.6,205
lunch,6,7.59,0,0,200,165,162.9,160
dinner,6,4.25,0,0,225,154,165.9,159
dinner,2,7.24,1,0,200,134,117.2,138
dinner,6,1.13,0,0,225,161,170.1,153
lunch,2,3.92,0,0,200,191,161.2,186
lunch,5,3.87,0,0,250,193,183.8,194
breakfast,5,7.74,0,0,200,144,126.8,136
breakfast,1,3.83,0,1,175,143,146.8,145
dinner,1,6.7,0,0,150,147,150.2,146
dinner,4,7.2,0,1,250,228,236.7,232
dinner,5,6.93,0,0,200,150,140.5,157
dinner,0,6.43,0,0,175,149,170.5,157
lunch,1,4.72,0,0,225,215,197.8,219
dinner,2,4.36,0,0,175,145,141.6,156
dinner,3,6.08,0,0,225,218,198.1,202
dinner,6,1.57,1,0,200,78,85.8,81
breakfast,6,8.88,0,0,175,111,104.7,128
lunch,4,8.43,0,0,150,143,138.7,130
breakfast,1,4.12,0,1,200,175,160.0,176
dinner,3,6.1,0,0,250,232,229.0,236
lunch,3,9.39,0,0,200,200,177.3,189
breakfast,1,3.44,0,0,225,175,191.1,166
dinner,0,7.68,0,0,200,181,169.7,186
lunch,0,1.74,1,0,200,122,107.6,116
lunch,4,5.71,0,0,225,202,176.9,190
breakfast,0,8.96,0,1,200,177,183.9,168
dinner,4,5.97,0,0,175,154,136.6,158
lunch,2,6.55,0,0,175,169,155.3,169
dinner,1,9.17,0,0,200,191,175.0,184
lunch,3,7.44,0,0,200,185,179.7,190
dinner,4,7.26,0,0,200,172,182.9,170
lunch,6,6.28,0,0,200,165,168.0,150
lunch,0,6.7,0,0,200,191,200.6,187
dinner,6,8.23,0,0,200,147,164.6,153
lunch,4,9.81,0,0,200,198,180.2,185
breakfast,5,8.16,0,0,225,153,160.2,154
breakfast,4,7.37,0,0,250,178,198.8,188
dinner,0,2.22,0,0,200,173,162.7,178
lunch,5,8.35,0,0,175,156,135.2,150
dinner,5,7.62,0,0,175,151,137.2,132
breakfast,0,7.93,0,0,175,131,154.5,153
breakfast,5,3.08,0,0,200,134,112.7,123
breakfast,1,9.13,0,0,200,167,184.3,171
lunch,3,1.88,0,0,200,189,160.5,175
lunch,6,3.28,0,0,200,158,145.6,151
lunch,1,6.97,0,0,150,132,133.6,143
lunch,1,7.06,0,0,200,197,183.2,192
dinner,0,3.82,0,0,175,145,167.2,147
